date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
17-03-2023,810,816.25,803.25,816.25,3378276,NULL,NULL,NULL,NULL,1,NA,NA,NA
20-03-2023,797.950012,853.299988,775.450012,848.65,6908589,NULL,NULL,NULL,NULL,2,NA,NA,NA
21-03-2023,868,891.049988,865.650024,891.05,3819655,NULL,NULL,NULL,NULL,3,NA,NA,NA
22-03-2023,923,935.599976,923,935.6,1825044,NULL,NULL,NULL,NULL,4,NA,NA,NA
23-03-2023,982,982.349976,977.75,982.35,1170710,NULL,NULL,NULL,NULL,5,NA,NA,NA
24-03-2023,1024,1031.449951,942.650024,1029.35,12923291,917.21,NULL,NULL,NULL,6,NA,NA,NA
27-03-2023,1060,1074.5,977.900024,984.9,7656812,926.88,NULL,NULL,NULL,7,NA,NA,NA
28-03-2023,950,953.799988,935.650024,935.65,1057688,943.94,NULL,NULL,NULL,8,NA,NA,NA
29-03-2023,888.900024,973.950012,888.900024,894.35,8902722,950.46,NULL,NULL,NULL,9,NA,NA,NA
31-03-2023,912,936,872.200012,881.15,3833232,949.05,NULL,NULL,NULL,10,NA,NA,NA
03-04-2023,884.799988,887,837.099976,837.45,2788282,935.03,NULL,NULL,NULL,11,NA,NA,NA
05-04-2023,815,861,795.599976,815.6,3818321,911.21,NULL,NULL,NULL,12,NA,NA,NA
06-04-2023,838.900024,856.349976,808.549988,856.35,3002370,886.49,NULL,NULL,NULL,13,NA,NA,NA
10-04-2023,897,899.150024,885.650024,899.15,1891503,874.24,NULL,NULL,NULL,14,NA,NA,NA
11-04-2023,936,944.099976,936,944.1,1163105,875.45,NULL,NULL,NULL,15,NA,NA,NA
12-04-2023,991.299988,991.299988,920,941.85,8203268,882.24,NULL,NULL,NULL,16,NA,NA,NA
13-04-2023,939.549988,963.799988,920,941.15,2585526,890.81,NULL,NULL,NULL,17,NA,NA,NA
17-04-2023,965,970,946,962.55,2317568,908.68,NULL,NULL,NULL,18,NA,NA,NA
18-04-2023,973,976,945,952.25,1378704,928.2,913.14,NULL,NULL,19,NA,NA,NA
19-04-2023,952.400024,955,920.5,935.8,1177133,939.55,914.28,NULL,NULL,20,NA,NA,NA
20-04-2023,937,948.900024,925,933.05,1181812,944.39,920.12,NULL,NULL,21,NA,Hold,NA
21-04-2023,937,938,911.299988,916.2,727246,940.41,923.49,NULL,NULL,22,NA,Hold,NA
24-04-2023,916.200012,916.25,880,887.1,1450872,932.59,923.3,NULL,NULL,23,NA,Hold,NA
25-04-2023,870,931.450012,864.900024,931.15,2314534,931.16,923.07,NULL,NULL,24,NA,Hold,NA
26-04-2023,934.799988,953.299988,920,924.6,1626606,925.74,920.19,NULL,NULL,25,NA,Hold,NA
27-04-2023,924.599976,925,907.049988,917.05,695987,920.71,914.57,NULL,NULL,26,NA,Hold,NA
28-04-2023,926.799988,960,922.099976,951,2759309,922.88,912.88,NULL,NULL,27,NA,Hold,NA
02-05-2023,994.75,998.549988,951.150024,974.65,3323308,928.82,914.83,NULL,NULL,28,NA,Hold,NA
03-05-2023,972,980,928.950012,942.05,1870972,932.51,917.21,NULL,NULL,29,NA,Hold,NA
04-05-2023,936,950,933.5,945.55,3394830,940.86,920.43,NULL,NULL,30,NA,Hold,NA
05-05-2023,946.950012,957.650024,933,940.55,3266241,942.21,925.59,NULL,NULL,31,NA,Hold,NA
08-05-2023,922,925.950012,903.299988,917.3,3406153,941.16,930.67,NULL,NULL,32,NA,Hold,NA
09-05-2023,917.299988,928.900024,899.349976,903.15,3476977,939.18,933.01,NULL,NULL,33,NA,Hold,NA
10-05-2023,890,905,885,902.35,3682237,932.23,933.17,NULL,NULL,34,NA,Hold,NA
11-05-2023,904.400024,925,904.400024,913.55,1061641,923.5,931.64,NULL,NULL,35,NA,Hold,NA
12-05-2023,920,920,894.25,895.6,749875,916.86,929.33,NULL,NULL,36,NA,Hold,NA
15-05-2023,905,913.799988,864,868.7,868695,905.89,925.71,NULL,NULL,37,NA,Hold,NA
16-05-2023,868.950012,899.950012,868,874.15,822421,896.4,921.29,NULL,NULL,38,NA,Hold,NA
17-05-2023,885,888.849976,867.049988,875.4,781898,890.41,917.45,NULL,NULL,39,NA,Hold,NA
