date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
2023-03-17,319.799988,319.799988,285.549988,292.85,368117,NULL,NULL,NULL,NULL,1,NA,NA,NA
2023-03-20,295,296.299988,280.75,286.80,109894,NULL,NULL,NULL,NULL,2,NA,NA,NA
2023-03-21,287.200012,293,287,291.05,44985,NULL,NULL,NULL,NULL,3,NA,NA,NA
2023-03-22,290,299.799988,290,294.00,55910,NULL,NULL,NULL,NULL,4,NA,NA,NA
2023-03-23,293.100006,297.5,292.100006,294.55,10842,NULL,NULL,NULL,NULL,5,NA,NA,NA
2023-03-24,293.049988,295.549988,290,291.20,30194,291.74,NULL,NULL,NULL,6,NA,NA,NA
2023-03-27,291.100006,292.75,287,289.70,37506,291.45,NULL,NULL,NULL,7,NA,NA,NA
2023-03-28,285.350006,290.799988,270.850006,279.90,53075,289.60,NULL,NULL,NULL,8,NA,NA,NA
2023-03-29,284,290.25,277,279.35,43666,288.54,NULL,NULL,NULL,9,NA,NA,NA
2023-03-31,279.649994,290.299988,275.5,289.60,104328,288.33,NULL,NULL,NULL,10,NA,NA,NA
2023-04-03,295,295,288,289.15,44141,287.64,NULL,NULL,NULL,11,NA,NA,NA
2023-04-05,289.200012,292.450012,286.299988,287.50,15673,286.63,NULL,NULL,NULL,12,NA,NA,NA
2023-04-06,287.049988,288.850006,284.899994,288.10,14308,286.19,NULL,NULL,NULL,13,NA,NA,NA
2023-04-10,287.25,288.399994,280.899994,284.00,22559,285.37,NULL,NULL,NULL,14,NA,NA,NA
2023-04-11,278.149994,279.75,276,276.85,60230,284.94,NULL,NULL,NULL,15,NA,NA,NA
2023-04-12,275.350006,285,260.5,265.05,65159,282.89,NULL,NULL,NULL,16,NA,NA,NA
2023-04-13,266,269.899994,255,265.80,99047,279.49,NULL,NULL,NULL,17,NA,NA,NA
2023-04-17,265.850006,268.549988,257.299988,261.70,45985,275.57,NULL,NULL,NULL,18,NA,NA,NA
2023-04-18,263,266.450012,258.649994,260.50,38646,271.71,282.51,NULL,NULL,19,NA,NA,NA
2023-04-19,260.100006,262.450012,257.100006,260.05,48679,267.71,281.38,NULL,NULL,20,NA,NA,NA
2023-04-20,260.049988,267.600006,258.75,265.10,102201,265.01,280.00,NULL,NULL,21,NA,Hold,NA
2023-04-21,265.149994,269.5,264.299988,268.05,48052,263.75,279.06,NULL,NULL,22,NA,Hold,NA
2023-04-24,268.149994,271.75,265,270.80,29927,264.57,278.05,NULL,NULL,23,NA,Hold,NA
