date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
2023-03-17,204.449997,206.399994,203.649994,205.15,6398045,NULL,NULL,NULL,NULL,1,NA,NA,NA
2023-03-20,204.5,204.550003,200.5,202.60,6100721,NULL,NULL,NULL,NULL,2,NA,NA,NA
2023-03-21,203,203.600006,201.600006,202.30,4431418,NULL,NULL,NULL,NULL,3,NA,NA,NA
2023-03-22,203.350006,203.800003,200.5,200.95,7561000,NULL,NULL,NULL,NULL,4,NA,NA,NA
2023-03-23,200,202.199997,199.550003,200.10,5367782,NULL,NULL,NULL,NULL,5,NA,NA,NA
2023-03-24,200.100006,201.25,192.100006,192.75,16010459,200.64,NULL,NULL,NULL,6,NA,NA,NA
2023-03-27,192.899994,194,184.449997,186.65,22247890,198.64,NULL,NULL,NULL,7,NA,NA,NA
2023-03-28,186.699997,187.5,182.350006,183.95,12023683,195.61,NULL,NULL,NULL,8,NA,NA,NA
2023-03-29,184.5,187.699997,183.300003,185.50,17480941,193.17,NULL,NULL,NULL,9,NA,NA,NA
2023-03-31,188.5,191.600006,187.949997,190.25,13519886,191.45,NULL,NULL,NULL,10,NA,NA,NA
2023-04-03,193.350006,196.050003,192.050003,193.95,14927965,190.45,NULL,NULL,NULL,11,NA,NA,NA
2023-04-05,194.649994,194.949997,192.5,194.60,7802577,189.66,NULL,NULL,NULL,12,NA,NA,NA
2023-04-06,193.5,196,192.100006,195.25,8898362,190.02,NULL,NULL,NULL,13,NA,NA,NA
2023-04-10,195.5,197.75,195.100006,195.70,7752647,191.31,NULL,NULL,NULL,14,NA,NA,NA
2023-04-11,197,197.899994,195.800003,197.55,4957133,193.26,NULL,NULL,NULL,15,NA,NA,NA
2023-04-12,198,198.600006,195.550003,197.10,8183550,194.91,NULL,NULL,NULL,16,NA,NA,NA
2023-04-13,197.199997,197.199997,194.25,196.30,6448150,195.78,NULL,NULL,NULL,17,NA,NA,NA
2023-04-17,196.300003,197.600006,194.800003,196.95,4756452,196.21,NULL,NULL,NULL,18,NA,NA,NA
2023-04-18,197.5,198.199997,196.149994,197.25,4249222,196.59,195.52,NULL,NULL,19,NA,NA,NA
2023-04-19,197.550003,197.75,193.050003,193.45,6753761,196.33,195.42,NULL,NULL,20,NA,NA,NA
2023-04-20,193.550003,196.800003,193.449997,196.40,6086016,196.43,194.98,NULL,NULL,21,NA,Hold,NA
2023-04-21,196.949997,196.949997,194.5,195.70,4015567,196.16,194.63,NULL,NULL,22,NA,Hold,NA
2023-04-24,196.5,196.699997,194.800003,195.85,5017631,195.99,194.31,NULL,NULL,23,NA,Hold,NA
2023-04-25,195.850006,198.800003,195.350006,197.65,5957551,196.18,194.14,NULL,NULL,24,NA,Hold,NA
2023-04-26,197.649994,198.949997,196.149994,198.20,4910837,196.36,194.05,NULL,NULL,25,NA,Hold,NA
2023-04-27,198.449997,199.949997,197.649994,198.50,5215692,196.54,194.34,NULL,NULL,26,NA,Hold,NA
2023-04-28,199.5,201.550003,199,201.10,7951645,197.63,195.06,NULL,NULL,27,NA,Hold,NA
2023-05-02,201.949997,202.949997,200.399994,201.75,6881245,198.39,195.95,NULL,NULL,28,NA,Hold,NA
2023-05-03,201.800003,204.25,200.449997,203.80,8641713,199.55,196.87,NULL,NULL,29,NA,Hold,NA
2023-05-04,203.899994,204.550003,202.100006,203.85,8211667,200.69,197.55,NULL,NULL,30,NA,Hold,NA
2023-05-05,203.899994,205.600006,199.399994,200.15,16337389,201.05,197.86,NULL,NULL,31,NA,Hold,NA
2023-05-08,201.5,203.199997,199.5,202.70,7724617,201.69,198.26,NULL,NULL,32,NA,Hold,NA
2023-05-09,203.75,205.100006,202.399994,203.30,7956883,202.38,198.66,NULL,NULL,33,NA,Hold,NA
2023-05-10,203.5,204.449997,202.199997,204.15,5026713,202.81,199.08,NULL,NULL,34,NA,Hold,NA
