date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
2023-03-17,53.450001,55.75,53.049999,54.90,112918857,NULL,NULL,NULL,NULL,1,NA,NA,NA
2023-03-20,53.599998,54.75,52.200001,53.55,65578919,NULL,NULL,NULL,NULL,2,NA,NA,NA
2023-03-21,53.849998,54.150002,52.650002,53.00,31632951,NULL,NULL,NULL,NULL,3,NA,NA,NA
2023-03-22,53.400002,53.900002,52.700001,53.10,38444991,NULL,NULL,NULL,NULL,4,NA,NA,NA
2023-03-23,52.900002,53.200001,52.099998,52.65,32816290,NULL,NULL,NULL,NULL,5,NA,NA,NA
2023-03-24,52.5,52.849998,50.150002,50.65,67243087,52.98,NULL,NULL,NULL,6,NA,NA,NA
2023-03-27,50.700001,51.299999,49.25,50.10,49618132,52.56,NULL,NULL,NULL,7,NA,NA,NA
2023-03-28,50.200001,50.549999,49,50.25,50426174,51.90,NULL,NULL,NULL,8,NA,NA,NA
2023-03-29,50.25,51.75,49.599998,51.25,41464387,51.57,NULL,NULL,NULL,9,NA,NA,NA
2023-03-31,51.25,51.700001,50.650002,51.00,56566133,51.29,NULL,NULL,NULL,10,NA,NA,NA
2023-04-03,51.5,52.150002,50.900002,51.95,29241512,51.12,NULL,NULL,NULL,11,NA,NA,NA
2023-04-05,52.099998,52.900002,51.549999,51.70,25497115,50.99,NULL,NULL,NULL,12,NA,NA,NA
2023-04-06,51.75,52.450001,51.299999,52.15,19695678,51.20,NULL,NULL,NULL,13,NA,NA,NA
2023-04-10,52.150002,54.200001,51.799999,53.95,60655412,51.75,NULL,NULL,NULL,14,NA,NA,NA
2023-04-11,54.650002,55.25,53.25,53.95,41101417,52.28,NULL,NULL,NULL,15,NA,NA,NA
2023-04-12,54.25,54.25,52.900002,53.20,30848068,52.56,NULL,NULL,NULL,16,NA,NA,NA
2023-04-13,53.200001,54.150002,52.849998,53.85,26646279,52.96,NULL,NULL,NULL,17,NA,NA,NA
2023-04-17,54.200001,54.25,53,53.95,24787918,53.25,NULL,NULL,NULL,18,NA,NA,NA
2023-04-18,54.049999,54.200001,53.049999,53.30,27617603,53.48,52.55,NULL,NULL,19,NA,NA,NA
2023-04-19,53.599998,55.950001,53.200001,54.15,62022927,53.76,52.63,NULL,NULL,20,NA,NA,NA
2023-04-20,54.150002,54.400002,53.650002,54.20,23096046,53.80,52.60,NULL,NULL,21,NA,Hold,NA
2023-04-21,54.299999,56.75,54.099998,56.05,106707937,54.10,52.72,NULL,NULL,22,NA,Hold,NA
2023-04-24,55.5,56.400002,54.700001,56.00,43287483,54.50,52.87,NULL,NULL,23,NA,Hold,NA
2023-04-25,56.400002,60.599998,56.200001,57.75,199056106,55.06,53.10,NULL,NULL,24,NA,Hold,NA
2023-04-26,58.099998,59,57.099998,58.20,59765915,55.66,53.38,NULL,NULL,25,NA,Hold,NA
2023-04-27,58.599998,61.150002,58.349998,60.70,82969101,56.72,53.88,NULL,NULL,26,NA,Hold,NA
2023-04-28,60.799999,66,59.549999,64.90,190938290,58.26,54.62,NULL,NULL,27,NA,Hold,NA
2023-05-02,64.5,65.650002,63.049999,63.45,112758256,59.58,55.28,NULL,NULL,28,NA,Hold,NA
2023-05-03,63.450001,64.949997,63.150002,63.55,65082316,60.65,55.90,NULL,NULL,29,NA,Hold,NA
2023-05-04,63.5,66.599998,63.349998,65.70,123042355,62.04,56.63,NULL,NULL,30,NA,Hold,NA
2023-05-05,65.5,66.699997,64.25,65.40,94016138,63.13,57.31,NULL,NULL,31,NA,Hold,NA
2023-05-08,64.599998,66.199997,63.5,64.90,104940671,64.09,57.97,NULL,NULL,32,NA,Hold,NA
2023-05-09,64.699997,64.699997,60.299999,60.95,127854883,64.12,58.41,NULL,NULL,33,NA,Hold,NA
2023-05-10,61,62.900002,60.950001,61.80,70220898,63.68,58.80,NULL,NULL,34,NA,Hold,NA
2023-05-11,62.599998,63.5,62,62.40,75062855,63.53,59.22,NULL,NULL,35,NA,Hold,NA
2023-05-12,62.5,63.650002,61.599998,62.60,73164520,63.39,59.69,NULL,NULL,36,NA,Hold,NA
2023-05-15,62.099998,64.099998,61.950001,63.70,55886001,63.11,60.18,NULL,NULL,37,NA,Hold,NA
2023-05-16,64,65,62.400002,63.00,59311532,62.76,60.64,NULL,NULL,38,NA,Hold,NA
2023-05-17,63,64.050003,62.25,63.35,47444527,62.54,61.14,NULL,NULL,39,NA,Hold,NA
2023-05-18,64.199997,64.599998,63.099998,63.50,54301847,62.91,61.61,NULL,NULL,40,NA,Hold,NA
2023-05-19,63.950001,65,63.200001,64.50,73620039,63.29,62.12,NULL,NULL,41,NA,Hold,NA
2023-05-22,64.699997,66.849998,61.799999,63.50,147006670,63.45,62.49,NULL,NULL,42,NA,Hold,NA
2023-05-23,63.049999,64,62.549999,63.20,50797759,63.54,62.85,NULL,NULL,43,NA,Hold,NA
2023-05-24,63,64.699997,62.75,64.45,60476729,63.64,63.19,NULL,NULL,44,NA,Hold,NA
2023-05-25,64.800003,68.199997,64.5,67.30,139721311,64.26,63.64,NULL,NULL,45,NA,Hold,NA
2023-05-26,67.300003,68.25,65.75,67.25,86466135,64.81,63.97,NULL,NULL,46,NA,Hold,NA
2023-05-29,67.800003,68.400002,66.599998,67.10,56968141,65.33,64.08,NULL,NULL,47,NA,Hold,NA
2023-05-30,67.5,68.300003,66.449997,66.85,60699589,65.66,64.25,NULL,NULL,48,NA,Hold,NA
2023-05-31,67.300003,70,66.300003,69.05,251813391,66.46,64.53,58.73,NULL,49,NA,Hold,NA
2023-06-01,68.699997,68.800003,67.599998,67.95,57846081,67.14,64.64,58.92,NULL,50,"Uptrend for short term",Hold,Hold
2023-06-02,70,73.199997,69.5,71.15,170769117,68.09,64.93,59.24,NULL,51,"Uptrend for short term",Hold,Hold
2023-06-05,71.300003,72.150002,69.599998,71.25,84075166,68.66,65.24,59.60,NULL,52,"Uptrend for short term",Hold,Hold
2023-06-06,71.550003,73.150002,71.349998,72.35,64762959,69.39,65.81,59.98,NULL,53,"Uptrend for short term",Hold,Hold
2023-06-07,72.5,75,72.400002,74.50,67871844,70.44,66.45,60.41,NULL,54,"Uptrend for short term",Hold,Hold
2023-06-08,74.800003,76.349998,73.699997,75.80,88006842,71.72,67.12,60.87,NULL,55,"Uptrend for short term",Hold,Hold
2023-06-09,77.050003,78,75.849998,77.60,77276802,72.94,67.87,61.41,NULL,56,"Uptrend for short term",Hold,Hold
2023-06-12,78.300003,80.300003,76.5,77.95,105388190,74.37,68.58,61.97,NULL,57,"Uptrend for short term",Hold,Hold
2023-06-13,77.900002,78.800003,76.699997,78.30,81857154,75.39,69.34,62.53,NULL,58,"Uptrend for short term",Hold,Hold
2023-06-14,78.300003,78.449997,73.25,74.10,83186945,75.80,69.88,62.99,NULL,59,"Uptrend for short term",Hold,Hold
2023-06-15,74.5,76.099998,73.099998,75.10,93321136,76.19,70.46,63.47,NULL,60,"Uptrend for short term",Hold,Hold
2023-06-16,75.550003,76,73.900002,74.45,45783616,76.19,70.96,63.92,NULL,61,"Uptrend for short term",Hold,Hold
2023-06-19,74.599998,77,74.099998,75.85,62744981,76.19,71.58,64.40,NULL,62,"Uptrend for short term",Hold,Hold
2023-06-20,76,76.400002,74.800003,75.85,30591595,75.94,72.21,64.88,NULL,63,"Uptrend for short term",Hold,Hold
2023-06-21,76.099998,77.349998,74.650002,75.10,31896510,75.54,72.74,65.30,NULL,64,"Uptrend for short term",Hold,Hold
2023-06-22,75.5,75.849998,73.650002,74.35,40419764,74.97,73.09,65.71,NULL,65,"Uptrend for short term",Hold,Hold
2023-06-23,73.900002,75.300003,72.550003,74.15,51775728,74.98,73.44,66.13,NULL,66,"Uptrend for short term",Hold,Hold
2023-06-26,74.150002,75.25,73.800003,74.85,30411621,74.94,73.83,66.55,NULL,67,"Uptrend for short term",Hold,Hold
2023-06-27,75.150002,76.949997,74.849998,76.15,59078137,75.19,74.29,66.99,NULL,68,"Uptrend for short term",Hold,Hold
2023-06-28,77,77,74.599998,74.90,30574521,75.05,74.58,67.42,NULL,69,"Uptrend for short term",Hold,Hold
2023-06-30,75,75.449997,74,75.05,49245376,74.94,74.94,67.84,NULL,70,"Uptrend for short term",Hold,Hold
2023-07-03,75.449997,77.25,74.550003,75.65,49243205,75.01,75.16,68.27,NULL,71,"Uptrend for short term",Hold,Hold
2023-07-04,75.800003,76.199997,74.5,74.80,24150257,75.08,75.34,68.64,NULL,72,"Uptrend for short term",Hold,Hold
2023-07-05,74.849998,75.099998,73.699997,74.05,25459694,75.06,75.43,69.01,NULL,73,"Uptrend for short term",Hold,Hold
2023-07-06,74.449997,75.25,74.300003,74.75,24467816,75.05,75.44,69.35,NULL,74,"Uptrend for short term",Hold,Hold
2023-07-07,74.800003,74.900002,73,73.25,26599778,74.64,75.31,69.65,NULL,75,"Uptrend for short term",Hold,Hold
2023-07-10,73.449997,75.550003,73.400002,74.80,33812208,74.62,75.17,69.93,NULL,76,"Uptrend for short term",Hold,Hold
2023-07-11,75.050003,77,74.900002,76.80,42946892,74.87,75.12,70.17,NULL,77,"Uptrend for short term",Hold,Hold
2023-07-12,77.5,78.800003,77.150002,77.50,64212629,75.14,75.08,70.45,NULL,78,"Uptrend for short term","Short term Buy",Hold
